detector_id,timestamp,intensity,speed,lon,lat
D001,2026-05-01 00:00:00,32,46.5,60.1204,57.9102
D001,2026-05-01 01:00:00,32,48.4,60.1204,57.9102
D001,2026-05-01 02:00:00,32,43.6,60.1204,57.9102
D001,2026-05-01 03:00:00,41,45.9,60.1204,57.9102
D001,2026-05-01 04:00:00,34,47.0,60.1204,57.9102
D001,2026-05-01 05:00:00,164,44.7,60.1204,57.9102
D001,2026-05-01 06:00:00,238,39.7,60.1204,57.9102
D001,2026-05-01 07:00:00,294,35.3,60.1204,57.9102
D001,2026-05-01 08:00:00,350,38.4,60.1204,57.9102
D001,2026-05-01 09:00:00,308,36.8,60.1204,57.9102
D001,2026-05-01 10:00:00,236,36.4,60.1204,57.9102
D001,2026-05-01 11:00:00,155,43.5,60.1204,57.9102
D001,2026-05-01 12:00:00,145,42.3,60.1204,57.9102
D001,2026-05-01 13:00:00,132,43.8,60.1204,57.9102
D001,2026-05-01 14:00:00,156,40.0,60.1204,57.9102
D001,2026-05-01 15:00:00,198,37.6,60.1204,57.9102
D001,2026-05-01 16:00:00,216,39.0,60.1204,57.9102
D001,2026-05-01 17:00:00,326,38.3,60.1204,57.9102
D001,2026-05-01 18:00:00,389,31.4,60.1204,57.9102
D001,2026-05-01 19:00:00,358,33.0,60.1204,57.9102
D001,2026-05-01 20:00:00,262,38.0,60.1204,57.9102
D001,2026-05-01 21:00:00,190,43.0,60.1204,57.9102
D001,2026-05-01 22:00:00,153,43.3,60.1204,57.9102
D001,2026-05-01 23:00:00,134,44.3,60.1204,57.9102
D001,2026-05-02 00:00:00,13,46.0,60.1204,57.9102
D001,2026-05-02 01:00:00,16,48.5,60.1204,57.9102
D001,2026-05-02 02:00:00,20,52.4,60.1204,57.9102
D001,2026-05-02 03:00:00,10,45.2,60.1204,57.9102
D001,2026-05-02 04:00:00,41,49.7,60.1204,57.9102
D001,2026-05-02 05:00:00,124,45.4,60.1204,57.9102
D001,2026-05-02 06:00:00,189,41.0,60.1204,57.9102
D001,2026-05-02 07:00:00,196,39.8,60.1204,57.9102
D001,2026-05-02 08:00:00,266,35.3,60.1204,57.9102
D001,2026-05-02 09:00:00,222,40.6,60.1204,57.9102
D001,2026-05-02 10:00:00,157,44.0,60.1204,57.9102
D001,2026-05-02 11:00:00,126,48.6,60.1204,57.9102
D001,2026-05-02 12:00:00,104,42.9,60.1204,57.9102
D001,2026-05-02 13:00:00,80,43.3,60.1204,57.9102
D001,2026-05-02 14:00:00,119,42.5,60.1204,57.9102
D001,2026-05-02 15:00:00,134,44.9,60.1204,57.9102
D001,2026-05-02 16:00:00,176,41.1,60.1204,57.9102
D001,2026-05-02 17:00:00,213,38.0,60.1204,57.9102
D001,2026-05-02 18:00:00,261,39.6,60.1204,57.9102
D001,2026-05-02 19:00:00,268,38.4,60.1204,57.9102
D001,2026-05-02 20:00:00,194,41.4,60.1204,57.9102
D001,2026-05-02 21:00:00,154,44.5,60.1204,57.9102
D001,2026-05-02 22:00:00,107,42.0,60.1204,57.9102
D001,2026-05-02 23:00:00,104,45.1,60.1204,57.9102
D001,2026-05-03 00:00:00,47,46.3,60.1204,57.9102
D001,2026-05-03 01:00:00,60,45.1,60.1204,57.9102
D001,2026-05-03 02:00:00,53,46.4,60.1204,57.9102
D001,2026-05-03 03:00:00,16,44.9,60.1204,57.9102
D001,2026-05-03 04:00:00,24,50.3,60.1204,57.9102
D001,2026-05-03 05:00:00,130,44.9,60.1204,57.9102
D001,2026-05-03 06:00:00,120,45.3,60.1204,57.9102
D001,2026-05-03 07:00:00,231,38.5,60.1204,57.9102
D001,2026-05-03 08:00:00,238,39.5,60.1204,57.9102
D001,2026-05-03 09:00:00,252,36.7,60.1204,57.9102
D001,2026-05-03 10:00:00,155,45.5,60.1204,57.9102
D001,2026-05-03 11:00:00,107,43.4,60.1204,57.9102
D001,2026-05-03 12:00:00,95,41.9,60.1204,57.9102
D001,2026-05-03 13:00:00,94,42.0,60.1204,57.9102
D001,2026-05-03 14:00:00,118,43.8,60.1204,57.9102
D001,2026-05-03 15:00:00,176,42.3,60.1204,57.9102
D001,2026-05-03 16:00:00,214,37.5,60.1204,57.9102
D001,2026-05-03 17:00:00,244,40.0,60.1204,57.9102
D001,2026-05-03 18:00:00,303,33.5,60.1204,57.9102
D001,2026-05-03 19:00:00,264,39.9,60.1204,57.9102
D001,2026-05-03 20:00:00,217,41.8,60.1204,57.9102
D001,2026-05-03 21:00:00,136,42.0,60.1204,57.9102
D001,2026-05-03 22:00:00,79,45.6,60.1204,57.9102
D001,2026-05-03 23:00:00,85,49.4,60.1204,57.9102
D001,2026-05-04 00:00:00,23,47.9,60.1204,57.9102
D001,2026-05-04 01:00:00,10,46.8,60.1204,57.9102
D001,2026-05-04 02:00:00,39,48.4,60.1204,57.9102
D001,2026-05-04 03:00:00,61,45.7,60.1204,57.9102
D001,2026-05-04 04:00:00,18,48.4,60.1204,57.9102
D001,2026-05-04 05:00:00,169,43.0,60.1204,57.9102
D001,2026-05-04 06:00:00,214,42.9,60.1204,57.9102
D001,2026-05-04 07:00:00,309,38.5,60.1204,57.9102
D001,2026-05-04 08:00:00,369,36.2,60.1204,57.9102
D001,2026-05-04 09:00:00,313,41.6,60.1204,57.9102
D001,2026-05-04 10:00:00,231,39.1,60.1204,57.9102
D001,2026-05-04 11:00:00,162,45.5,60.1204,57.9102
D001,2026-05-04 12:00:00,131,44.5,60.1204,57.9102
D001,2026-05-04 13:00:00,146,41.7,60.1204,57.9102
D001,2026-05-04 14:00:00,111,44.7,60.1204,57.9102
